ATM,Sitio,CR,Division,Marca,Tipo dispositivo,Estatus dispositivo,Calle,Num. Ext.,Estado,Ciudad,CP,Del/Muni,Colonia,Latitud,Longitud,Tipo localidad,IDC,ETV
26,D.F. XOCHIMILCO CENTRO,3569,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,AV JOSE MA. MORELOS,53,DISTRITO FEDERAL,CIUDAD DE MEXICO,16070,XOCHIMILCO,BARRIO EL ROSARIO,19.261735,-99.104917,SUC,GRG,APODERADO
27,LA RAZA,4634,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,AV VALLEJO,294,DISTRITO FEDERAL,CIUDAD DE MEXICO,2960,AZCAPOTZALCO,SAN FRANCISCO XOCOTITLA,19.467957,-99.1449667,SUC,DIEBOLD,APODERADO
28,MERCK SA DE CV,6062,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,5,7,ESTADO DE MEXICO,NAUCALPAN DE JUAREZ,53370,NAUCALPAN DE JUAREZ,FRACC INDUSTRIAL ALCE BLANCO,19.4697591,-99.227485,REM,DIEBOLD,SEPSA
29,MATEHUALA HIDALGO,330,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,HIDALGO SUR,523,SAN LUIS POTOSI,MATEHUALA,78700,MATEHUALA,CENTRO,23.6539806,-100.6239877,SUC,DIEBOLD,APODERADO
30,MATEHUALA HIDALGO,330,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,HIDALGO SUR,523,SAN LUIS POTOSI,MATEHUALA,78700,MATEHUALA,CENTRO,23.6539806,-100.6239877,SUC,DIEBOLD,APODERADO
31,IMSS MAZATLAN,881,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV EJERCITO MEXICANO,S/N,SINALOA,MAZATLAN,82019,MAZATLAN,TIERRA Y LIBERTAD,23.2342114,-106.4231804,SUC,DIEBOLD,APODERADO
32,IMSS MAZATLAN,881,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV EJERCITO MEXICANO,S/N,SINALOA,MAZATLAN,82019,MAZATLAN,TIERRA Y LIBERTAD,23.2342114,-106.4231804,SUC,DIEBOLD,APODERADO
33,UNIVERSIDAD TECNOLOGICA DEL CENTRO DE VERACRUZ,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV UNIVERSIDAD,350,VERACRUZ,CUITLAHUAC,94912,CUITLAHUAC,DOS CAMINOS,18.7950959,-96.7064409,REM,DIEBOLD,SEPSA
35,AVICOLA Y PORCICOLA TEHUACAN,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,CTRA FEDERAL TEHUACAN PUEBLA,KM 2 5,PUEBLA,TEHUACAN,75857,TEHUACAN,SANTA MARIA,18.4285028,-97.4083958,REM,DIEBOLD,SEPSA
36,JUCHITAN,5692,SUR,DIEBOLD,DISPENSADOR,ACTIVO,16 DE SEPTIEMBRE,39,OAXACA,JUCHITAN (JUCHITAN DE ZARAGOZA),70000,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,CENTRO,16.4341995,-95.0219309,SUC,DIEBOLD,APODERADO
37,TOLUCA PASEO MOLINOS,741,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,AV. SEBASTIAN LERDO DE TEJADA,305 PONIENTE,ESTADO DE MEXICO,TOLUCA,50080,TOLUCA,LA MERCED,19.291022,-99.661749,SUC,GRG,APODERADO
38,AVIACION,1102,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AVIACION,2197,JALISCO,ZAPOPAN,45019,ZAPOPAN,COL SAN JUAN DE OCOTLAN,20.7238391,-103.4552581,SUC,DIEBOLD,APODERADO
39,CIUDAD JUAREZ CENTRO,351,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV BENITO JUAREZ,SN,CHIHUAHUA,JUAREZ,32000,JUAREZ,CENTRO,31.7425671,-106.4854467,SUC,DIEBOLD,APODERADO
40,AVIACION,1102,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AVIACION,2197,JALISCO,ZAPOPAN,45019,ZAPOPAN,COL SAN JUAN DE OCOTLAN,20.7238391,-103.4552581,SUC,DIEBOLD,APODERADO
41,BIMBO CEDIS METROPOLITANO,6062,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,AV 16 DE SEPTIEMBRE,31,DISTRITO FEDERAL,CIUDAD DE MEXICO,2160,AZCAPOTZALCO,SANTO DOMINGO,19.4917802,-99.1897216,REM,DIEBOLD,SEPSA
42,COMISION ESTATAL DEL AGUA CESPT,6062,NOROESTE,WINCOR,DISPENSADOR,ACTIVO,BLVD FEDERICO BENITEZ,4057,BAJA CALIFORNIA,TIJUANA,22100,TIJUANA,20 DE NOVIEMBRE,32.5098133,-116.9750827,REM,WINCOR,SEPSA
43,ANTOLIN INTERIORS MEXICO TOLUCA EL COECILLO,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,AV. INDUSTRIAL AUTOMOTRIZ,1402,ESTADO DE MEXICO,TOLUCA,50246,TOLUCA,EL COECILLO,19.295141,-99.575515,REM,GRG,SEPSA
44,PEMEX PETROQUIMICA COSOLEACAQUE,6062,SUR,NCR,DISPENSADOR,ACTIVO,COMPLEJO PETROQUIMICO,SN,VERACRUZ,COSOLEACAQUE,96340,COSOLEACAQUE,FERROCARRILERA,18.0008394,-94.6075948,REM,NCR,SEPSA
45,CIUDAD JUAREZ CENTRO,351,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV BENITO JUAREZ,SN,CHIHUAHUA,JUAREZ,32000,JUAREZ,CENTRO,31.7425671,-106.4854467,SUC,DIEBOLD,APODERADO
46,SITE TLALPAN,1169,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,CALZ TLALPAN,1037,DISTRITO FEDERAL,CIUDAD DE MEXICO,3500,BENITO JUAREZ,NATIVITAS,19.380356,-99.1411184,SUC,DIEBOLD,APODERADO
47,PROCTER AND GAMBLE TEPEJI,6062,BAJIO,WINCOR,DISPENSADOR,ACTIVO,NORTE 3 CTRA MEXICO QUERETARO,4,HIDALGO,TEPEJI DEL RIO DE OCAMPO,42884,TEPEJI DEL RIO DE OCAMPO,PARQUE INDUSTRIAL TEPEJI DEL RIO,19.8620639,-99.2877931,REM,WINCOR,SEPSA
48,TOLUCA PASEO MOLINOS,741,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,AV. SEBASTIAN LERDO DE TEJADA,305 PONIENTE,ESTADO DE MEXICO,TOLUCA,50080,TOLUCA,LA MERCED,19.291022,-99.661749,SUC,GRG,APODERADO
49,SORIANA AFOLDO HORN,6062,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV ADOLFO HORN,3530,JALISCO,TLAQUEPAQUE,45615,SAN PEDRO TLAQUEPAQUE,LOPEZ COTILLA,20.5594846,-103.3647756,REM,DIEBOLD,SEPSA
50,SORIANA MINATITLAN,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,CAMPO MATILLAS,52 91,VERACRUZ,MINATITLAN,96880,MINATITLAN,CUAUHTEMOC,17.99546991,-94.54058689,REM,DIEBOLD,SEPSA
51,PRESIDENCIA MUNICIPAL DE ATITALAQUIA,6062,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,PLAZA PRINCIPAL,SN,HIDALGO,ATITALAQUIA,42970,ATITALAQUIA,ATITALAQUIA CENTRO,20.0530764,-99.2297015,REM,DIEBOLD,SEPSA
52,HUIXQUILUCAN,3522,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,NICOLAS BRAVO,9,ESTADO DE MEXICO,HUIXQUILUCAN DE DEGOLLADO,52760,HUIXQUILUCAN,CENTRO,19.360034,-99.351897,SUC,GRG,APODERADO
53,CIUDAD JUAREZ CENTRO,351,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV BENITO JUAREZ,SN,CHIHUAHUA,JUAREZ,32000,JUAREZ,CENTRO,31.7425671,-106.4854467,SUC,DIEBOLD,APODERADO
54,ILCE,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,DEL PUENTE,45,DISTRITO FEDERAL,CIUDAD DE MEXICO,14386,TLALPAN,RANCHO LOS COLORINES,19.1976815,-99.1478844,REM,DIEBOLD,SEPSA
55,INSTITUTO FEDERAL ELECTORAL,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,VIADUCTO TLALPAN,100,DISTRITO FEDERAL,CIUDAD DE MEXICO,14610,TLALPAN,ARENALES,19.2958236,-99.1459565,REM,DIEBOLD,SEPSA
56,CIUDAD JUAREZ CENTRO,351,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV BENITO JUAREZ,SN,CHIHUAHUA,JUAREZ,32000,JUAREZ,CENTRO,31.7425671,-106.4854467,SUC,DIEBOLD,APODERADO
57,INSTITUTO FEDERAL ELECTORAL,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,HUIZACHES,25,DISTRITO FEDERAL,CIUDAD DE MEXICO,14386,TLALPAN,RANCHO LOS COLORINES,19.2894475,-99.1378973,REM,DIEBOLD,SEPSA
58,ALTOTONGA,5928,SUR,DIEBOLD,DISPENSADOR,ACTIVO,ENRIQUE C REBSAMEN,2,VERACRUZ,ALTOTONGA,93700,ALTOTONGA,CENTRO,19.7665543,-97.2454267,SUC,DIEBOLD,APODERADO
60,CIUDAD JUAREZ CENTRO,351,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV BENITO JUAREZ,SN,CHIHUAHUA,JUAREZ,32000,JUAREZ,CENTRO,31.7425671,-106.4854467,SUC,DIEBOLD,APODERADO
61,ANTOLIN INTERIORS MEXICO TOLUCA SANTA ANA,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,ALBERTO EINSTEIN,534,ESTADO DE MEXICO,TOLUCA,50160,TOLUCA,SANTA ANA TLAPALTITLAN,19.289042,-99.610243,REM,GRG,SEPSA
62,CHEDRAUI PLAYA DEL CARMEN,6062,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,CALLE 45 AV SUR SN CENTRO,SN,QUINTANA ROO,PLAYA DEL CARMEN,77710,SOLIDARIDAD,PLAYA DEL CARMEN CENTRO,20.62532975,-87.0846731,REM,DIEBOLD,SEPSA
63,SCT REMUNERACIONES,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,BLVD ADOLFO LOPEZ MATEOS,1990,DISTRITO FEDERAL,CIUDAD DE MEXICO,1049,ALVARO OBREGON,TLACOPAC,19.3779401,-99.1482732,REM,DIEBOLD,SEPSA
64,SORIANA PORVENIR,6062,NOROESTE,NCR,DISPENSADOR,ACTIVO,AV MANUEL J CLOUTHIER,450,CHIHUAHUA,JUAREZ,32170,JUAREZ,RIO GRANDE,31.65873619,-106.3602214,REM,NCR,SEPSA
65,JUCHITAN,5692,SUR,DIEBOLD,DISPENSADOR,ACTIVO,16 DE SEPTIEMBRE,39,OAXACA,JUCHITAN (JUCHITAN DE ZARAGOZA),70000,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,CENTRO,16.4341995,-95.0219309,SUC,DIEBOLD,APODERADO
66,CENTRO DE INTEGRACION JUVENIL A.C (CIJAC),6062,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,AV SAN JERONIMO,372,DISTRITO FEDERAL,CIUDAD DE MEXICO,�01900,ALVARO OBREGON,JARDINES DEL PEDREGAL,19.33302692,-99.20165414,REM,GRG,SEPSA
67,NUEVO LAREDO JARDIN,3850,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV REFORMA,4400 LOCAL B 06 E,TAMAULIPAS,NUEVO LAREDO,88280,NUEVO LAREDO,MEXICO,27.4613212,-99.5112071,SUC,DIEBOLD,APODERADO
68,VIILAHERMOSA GUAYABAL,4615,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV PASEO USUMACINTA,SN,TABASCO,VILLAHERMOSA,86090,CENTRO,EL GUAYABAL,17.9745616,-92.9274171,SUC,DIEBOLD,APODERADO
69,CEMENTOS MOCTEZUMA III,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,CTRA TEZOYUCA TEPETZINGO,KM 19,MORELOS,EMILIANO ZAPATA,62767,EMILIANO ZAPATA,TEZOYUCA,18.820017,-99.19054,REM,DIEBOLD,SEPSA
70,ARCOS VALLARTA,1032,OCCIDENTE,WINCOR,DISPENSADOR,ACTIVO,LOPEZ COTILLA,2160,JALISCO,GUADALAJARA,44130,GUADALAJARA,ARCOS VALLARTA,20.673785,-103.383002,SUC,WINCOR,APODERADO
71,PLAZA CRISTAL,128,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV SAN MATEO,17,ESTADO DE MEXICO,ATIZAPAN DE ZARAGOZA,52900,ATIZAPAN DE ZARAGOZA,COLONIA CENTRO,19.56226397,-99.2441124,SUC,WINCOR,APODERADO
72,FISCALIA DEL ESTADO DE MEXICO CUAUTITLAN IZCALLI,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,AV CONSTITUCION,100,ESTADO DE MEXICO,CUAUTITLAN IZCALLI,54700,CUAUTITLAN IZCALLI,CUAUTITLAN IZCALLI CENTRO URBANO,19.657706,-99.209111,REM,GRG,SEPSA
73,RASTRO Y FRIGORIFICO DE TEHUACAN S.A. DE C.V.,6062,SUR,GRG,DISPENSADOR,ACTIVO,CARRETERA FEDERAL PUEBLA-TEHUACAN,KM 105,PUEBLA,TEPANCO DE LOPEZ,75800,TEPANCO DE LOPEZ,TEPANCO DE LOPEZ,18.5562108,-97.5650218,REM,GRG,SEPSA
74,SORIANA IXTAPALAUCA,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV CUAUHTEMOC,2000,ESTADO DE MEXICO,IXTAPALUCA,56530,IXTAPALUCA,IXTAPALUCA CENTRO,19.313034,-98.8970798,REM,DIEBOLD,SEPSA
75,JUCHITAN,5692,SUR,DIEBOLD,DISPENSADOR,ACTIVO,16 DE SEPTIEMBRE,39,OAXACA,JUCHITAN (JUCHITAN DE ZARAGOZA),70000,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,CENTRO,16.4341995,-95.0219309,SUC,DIEBOLD,APODERADO
76,TOWN SQUARE METEPEC,1492,METROPOLITANA NORTE,WINCOR,DISPENSADOR,ACTIVO,AV. IGNACIO COMONFORT,1100,ESTADO DE MEXICO,METEPEC,52177,METEPEC,LA PROVIDENCIA,19.267547,-99.626711,SUC,WINCOR,APODERADO
77,PLAZA MONTECASINO,3889,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV PROL ENRIQUE DIAZ DE LEON,2273,JALISCO,GUADALAJARA,44210,GUADALAJARA,JARDINES DEL COUNTRY,20.7098455,-103.3607206,SUC,DIEBOLD,APODERADO
78,SKY,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,INSURGENTES SUR,649,DISTRITO FEDERAL,CIUDAD DE MEXICO,3100,BENITO JUAREZ,DEL VALLE,19.39549,-99.17219,REM,DIEBOLD,SEPSA
79,APODACA PLAZA SENDERO,4689,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV LA CONCORDIA,800,NUEVO LEON,CIUDAD APODACA,66612,APODACA,LOS EBANOS,25.782965,-100.236071,SUC,DIEBOLD,APODERADO
80,LEON SAN JUAN BOSCO,5196,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,BLVD SAN JUAN BOSCO,913,GUANAJUATO,LEON DE LOS ALDAMA,37330,LEON,VISTAHERMOSA,21.1308503,-101.7053394,SUC,DIEBOLD,APODERADO
81,GARZA GARCIA PLAZA SAN PEDRO,4472,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV HUMBERTO LOBO,520,NUEVO LEON,SAN PEDRO GARZA GARCIA,66220,SAN PEDRO GARZA GARCIA,DEL VALLE,25.6644021,-100.3835779,SUC,DIEBOLD,APODERADO
82,SERVICIOS DE SALUD DE NAYARIT,6062,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,CALZ DE LA CRUZ,158,NAYARIT,TEPIC,63169,TEPIC,FRAY JUNIPERO SERRA,21.5007956,-104.8977321,REM,DIEBOLD,SEPSA
83,TAPACHULA PLAZA INN,5007,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV SUR 157,52,CHIAPAS,TAPACHULA DE CORDOVA Y ORDO�EZ,30790,TAPACHULA,SAN SEBASTIAN,14.8924772,-92.2721663,SUC,DIEBOLD,APODERADO
84,HUIXQUILUCAN,3522,METROPOLITANA NORTE,WINCOR,DISPENSADOR,ACTIVO,NICOLAS BRAVO,9,ESTADO DE MEXICO,HUIXQUILUCAN DE DEGOLLADO,52760,HUIXQUILUCAN,CENTRO,19.3600234,-99.3518959,SUC,WINCOR,APODERADO
85,TOWN SQUARE METEPEC,1492,METROPOLITANA NORTE,WINCOR,DISPENSADOR,ACTIVO,AV. IGNACIO COMONFORT,1100,ESTADO DE MEXICO,METEPEC,52177,METEPEC,LA PROVIDENCIA,19.267547,-99.626711,SUC,WINCOR,APODERADO
86,ACAYUCAN CENTRO,541,SUR,DIEBOLD,DISPENSADOR,ACTIVO,HIDALGO,20,VERACRUZ,ACAYUCAN,96000,ACAYUCAN,CENTRO,17.94932257,-94.91413758,SUC,DIEBOLD,APODERADO
87,ACAYUCAN CENTRO,541,SUR,DIEBOLD,DISPENSADOR,ACTIVO,HIDALGO,20,VERACRUZ,ACAYUCAN,96000,ACAYUCAN,CENTRO,17.94932257,-94.91413758,SUC,DIEBOLD,APODERADO
88,TAPACHULA PLAZA INN,5007,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV SUR 157,52,CHIAPAS,TAPACHULA DE CORDOVA Y ORDO�EZ,30790,TAPACHULA,SAN SEBASTIAN,14.8924772,-92.2721663,SUC,DIEBOLD,APODERADO
89,SAN JUAN DE LOS LAGOS,5460,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,BENIGNO ROMO,12,JALISCO,SAN JUAN DE LOS LAGOS,47000,SAN JUAN DE LOS LAGOS,CENTRO,21.2466361,-102.3351788,SUC,DIEBOLD,APODERADO
90,PATIO SANTA FE,3048,METROPOLITANA SUR,WINCOR,DISPENSADOR,ACTIVO,AV PROL PASEO DE LA REFORMA,400 LOCALES A14 Y A15,DISTRITO FEDERAL,CIUDAD DE MEXICO,1210,ALVARO OBREGON,PE�A BLANCA SANTA FE,19.377239,-99.254516,SUC,WINCOR,APODERADO
91,JUCHITAN,5692,SUR,DIEBOLD,DISPENSADOR,ACTIVO,16 DE SEPTIEMBRE,39,OAXACA,JUCHITAN (JUCHITAN DE ZARAGOZA),70000,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,CENTRO,16.4341995,-95.0219309,SUC,DIEBOLD,APODERADO
92,PATIO SANTA FE,3048,METROPOLITANA SUR,WINCOR,DISPENSADOR,ACTIVO,AV PROL PASEO DE LA REFORMA,400 LOCALES A14 Y A15,DISTRITO FEDERAL,CIUDAD DE MEXICO,1210,ALVARO OBREGON,PE�A BLANCA SANTA FE,19.377239,-99.254516,SUC,WINCOR,APODERADO
93,ACAYUCAN CENTRO,541,SUR,DIEBOLD,DISPENSADOR,ACTIVO,HIDALGO,20,VERACRUZ,ACAYUCAN,96000,ACAYUCAN,CENTRO,17.94932257,-94.91413758,SUC,DIEBOLD,APODERADO
94,PRINCIPAL OCOTLAN,595,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,MADERO,285,JALISCO,OCOTLAN,47800,OCOTLAN,CENTRO,20.3509613,-102.7732037,SUC,DIEBOLD,APODERADO
95,HUIXQUILUCAN,3522,METROPOLITANA NORTE,WINCOR,DISPENSADOR,ACTIVO,NICOLAS BRAVO,9,ESTADO DE MEXICO,HUIXQUILUCAN DE DEGOLLADO,52760,HUIXQUILUCAN,CENTRO,19.3600234,-99.3518959,SUC,WINCOR,APODERADO
96,VIILAHERMOSA GUAYABAL,4615,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV PASEO USUMACINTA,SN,TABASCO,VILLAHERMOSA,86090,CENTRO,EL GUAYABAL,17.9745616,-92.9274171,SUC,DIEBOLD,APODERADO
97,PASEO VILLALTA,1519,NORESTE,GRG,DISPENSADOR,ACTIVO,BLVD. VENUSTIANO CARRANZA,6075,COAHUILA,SALTILLO,25210,SALTILLO,RANCHO DE PE�A,25.476746,-100.976786,SUC,GRG,APODERADO
98,TORRE REFORMA,730,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,AV PASEO DE LA REFORMA,510,DISTRITO FEDERAL,CIUDAD DE MEXICO,6600,CUAUHTEMOC,JUAREZ,19.422983,-99.174976,SUC,GRG,APODERADO
99,MORELIA UNIVERSIDAD,338,OCCIDENTE,GRG,DISPENSADOR,ACTIVO,CALZ DE LAS HUERTAS,2425,MICHOACAN,MORELIA,58087,MORELIA,HACIENDA LA HUERTA,19.678727,-101.22052,SUC,GRG,APODERADO
100,SITE TLALPAN,1169,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,CALZ TLALPAN,1037,DISTRITO FEDERAL,CIUDAD DE MEXICO,3500,BENITO JUAREZ,NATIVITAS,19.380356,-99.1411184,SUC,DIEBOLD,APODERADO
101,PRINCIPAL OCOTLAN,595,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,MADERO,285,JALISCO,OCOTLAN,47800,OCOTLAN,CENTRO,20.3509613,-102.7732037,SUC,DIEBOLD,APODERADO
102,INGENIO SAN CRISTOBAL,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,FERROCARRIL,SN,VERACRUZ,CARLOS A CARRILLO,95330,CARLOS A CARRILLO,CARLOS A CARRILLO CENTRO,18.3716458,-95.7484341,REM,DIEBOLD,SEPSA
